epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6998,1.15058,3.59061,1.16229,0.38406,0.65097,0.45651,0.38978,0.61635,1.94671,0.85617,0.000236663,0.000236663,0.000236663
2,110.468,0.83581,1.64222,0.96192,0.91043,0.9028,0.95805,0.86495,0.45951,0.74444,0.85874,0.000468789,0.000468789,0.000468789
3,159.652,0.70511,0.96478,0.92344,0.96964,0.96599,0.99153,0.90504,0.42938,0.48144,0.83652,0.000695025,0.000695025,0.000695025
4,204.688,0.66216,0.76316,0.90713,0.98323,0.97904,0.99306,0.92506,0.37843,0.42185,0.82273,0.000687493,0.000687493,0.000687493
5,253.015,0.61145,0.6742,0.89216,0.98787,0.98733,0.99341,0.93421,0.35255,0.38014,0.81175,0.000678657,0.000678657,0.000678657
6,300.284,0.58931,0.62827,0.88285,0.98867,0.98897,0.99364,0.94852,0.32543,0.36297,0.80956,0.000669821,0.000669821,0.000669821
7,344.364,0.57011,0.59235,0.87758,0.99215,0.99166,0.99422,0.94128,0.33931,0.33056,0.80875,0.000660986,0.000660986,0.000660986
8,399.031,0.55857,0.57735,0.87383,0.99164,0.9909,0.99351,0.95189,0.3169,0.31865,0.80422,0.00065215,0.00065215,0.00065215
9,444.665,0.54846,0.55156,0.86827,0.99356,0.9921,0.994,0.94691,0.33264,0.32668,0.80452,0.000643314,0.000643314,0.000643314
10,496.373,0.53521,0.53206,0.86553,0.99456,0.99256,0.99409,0.94963,0.32034,0.31056,0.80286,0.000634478,0.000634478,0.000634478
11,541.383,0.52306,0.51656,0.86301,0.99529,0.99285,0.99421,0.95786,0.30351,0.29193,0.79957,0.000625642,0.000625642,0.000625642
12,594.824,0.51373,0.50501,0.86071,0.99488,0.99379,0.99388,0.95716,0.28829,0.27635,0.79741,0.000616807,0.000616807,0.000616807
13,640.299,0.50485,0.48975,0.85628,0.99554,0.99352,0.99429,0.96323,0.28659,0.26917,0.7956,0.000607971,0.000607971,0.000607971
14,688.216,0.49737,0.48065,0.8546,0.99445,0.99354,0.99413,0.96108,0.28325,0.26782,0.79565,0.000599135,0.000599135,0.000599135
15,736.011,0.50079,0.47831,0.85591,0.99574,0.99488,0.99423,0.96278,0.28114,0.2577,0.79523,0.0005903,0.0005903,0.0005903
